transaction_id,transaction_date,transaction_time,store_id,product_id,transaction_qty
1,2023-01-01,11:01:23,4,6,1
2,2023-01-01,11:04:45,4,6,3
3,2023-01-01,11:04:55,7,13,1
4,2023-01-01,11:09:16,2,9,1
5,2023-01-01,11:10:21,4,7,1
6,2023-01-01,11:12:14,2,11,2
7,2023-01-01,11:13:01,4,2,3
8,2023-01-01,11:15:42,3,1,1
9,2023-01-01,11:16:12,3,5,1
10,2023-01-01,11:17:24,10,9,1
11,2023-01-01,11:17:48,3,4,1
12,2023-01-01,11:21:12,3,10,1
13,2023-01-01,11:23:32,7,10,1
14,2023-01-01,11:28:17,5,5,1
15,2023-01-01,11:30:14,3,4,1
16,2023-01-01,11:31:03,10,7,1
17,2023-01-01,11:33:29,2,10,1
18,2023-01-01,11:37:35,10,14,1
19,2023-01-01,11:39:27,3,9,4
20,2023-01-01,11:40:09,8,10,4
21,2023-01-01,11:40:10,4,3,1
22,2023-01-01,11:42:40,2,13,1
23,2023-01-01,11:44:38,6,10,2
24,2023-01-01,11:45:30,3,14,2
25,2023-01-01,11:45:53,2,3,1
26,2023-01-01,11:47:43,7,8,2
27,2023-01-01,11:47:46,8,6,1
28,2023-01-01,11:48:41,2,14,2
29,2023-01-01,11:49:08,5,6,1
30,2023-01-01,11:49:21,1,7,1
31,2023-01-01,11:49:22,3,6,1
32,2023-01-01,11:49:31,6,11,2
33,2023-01-01,11:50:34,4,5,1
34,2023-01-01,11:51:54,1,1,1
35,2023-01-01,11:55:00,3,10,1
36,2023-01-01,11:56:46,6,13,1
37,2023-01-01,11:57:25,2,12,2
38,2023-01-01,12:00:19,6,12,1
39,2023-01-01,12:01:18,6,4,1
40,2023-01-01,12:02:40,2,4,1
41,2023-01-01,12:05:08,5,3,1
42,2023-01-01,12:06:23,10,8,1
43,2023-01-01,12:08:02,2,4,3
44,2023-01-01,12:10:06,5,7,2
45,2023-01-01,12:11:06,7,7,1
46,2023-01-01,12:11:18,1,9,3
47,2023-01-01,12:11:39,7,7,3
48,2023-01-01,12:12:25,1,11,2
49,2023-01-01,12:13:02,3,8,1
50,2023-01-01,12:15:32,3,5,1
51,2023-01-01,12:16:54,7,4,1
52,2023-01-01,12:17:28,7,11,3
53,2023-01-01,12:17:33,5,4,1
54,2023-01-01,12:17:35,3,9,2
55,2023-01-01,12:18:14,5,14,3
56,2023-01-01,12:19:52,1,8,1
57,2023-01-01,12:23:07,3,1,1
58,2023-01-01,12:24:14,6,13,1
59,2023-01-01,12:37:42,1,13,1
60,2023-01-01,12:39:22,10,1,1
61,2023-01-01,12:40:07,2,11,1
62,2023-01-01,12:40:43,8,11,1
63,2023-01-01,12:43:44,2,8,2
64,2023-01-01,12:46:09,1,12,1
65,2023-01-01,12:46:41,1,2,3
66,2023-01-01,12:52:59,1,5,1
67,2023-01-01,12:53:38,10,4,4
68,2023-01-01,12:55:41,8,13,2
69,2023-01-01,12:56:48,4,2,2
70,2023-01-01,12:58:44,6,7,1
71,2023-01-01,13:01:08,6,8,4
72,2023-01-01,13:01:24,1,14,1
73,2023-01-01,13:01:38,9,4,2
74,2023-01-01,13:02:00,9,1,1
75,2023-01-01,13:02:30,3,4,3
76,2023-01-01,13:02:31,8,10,1
77,2023-01-01,13:02:59,6,2,1
78,2023-01-01,13:03:29,6,5,1
79,2023-01-01,13:03:35,7,7,1
80,2023-01-01,13:04:39,2,6,1
81,2023-01-01,13:04:58,2,12,1
82,2023-01-01,13:09:02,4,11,2
83,2023-01-01,13:09:29,6,7,2
84,2023-01-01,13:09:36,4,5,2
85,2023-01-01,13:13:08,1,4,1
86,2023-01-01,13:13:35,10,7,1
87,2023-01-01,13:13:50,5,14,1
88,2023-01-01,13:18:14,3,8,2
89,2023-01-01,13:18:51,3,10,2
90,2023-01-01,13:18:53,2,9,2
